Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4J;A134;13/7/2020_10:33:31;6 > 
CTC4J;A134;13/7/2020_11:13:02;6 > 
CTC4J;A134;13/7/2020_11:33:01;6 > 
CTC4J;A79;13/7/2020_12:46:35;4 > 
CTC4J;A79;13/7/2020_12:55:14;5 > 
CTC4J;A79;13/7/2020_13:25:39;6 > 
CTC4J;A79;13/7/2020_13:35:30;4 > 
CTC4J;A79;13/7/2020_13:45:30;7 > 
CTC4J;A79;13/7/2020_13:57:37;6 > 
CTC4J;A79;13/7/2020_14:05:05;4 > 
CTC4J;A79;13/7/2020_15:28:07;5 > 
CTC4J;A79;13/7/2020_15:38:25;4 > 
CTC4J;A79;13/7/2020_15:48:26;7 > 
CTC4J;A79;13/7/2020_16:18:34;6 > 
CTC4J;A79;13/7/2020_16:28:55;7 > 
CTC4J;A79;13/7/2020_17:18:21;4 > 
CTC4J;A79;13/7/2020_17:28:22;5 > 
CTC4J;A79;13/7/2020_18:01:05;7 > 
CTC4J;A79;13/7/2020_18:08:22;4 > 
CTC4J;A79;13/7/2020_18:18:21;7 > 
CTC4J;A79;13/7/2020_18:38:33;5 > 
CTC4J;A79;13/7/2020_18:48:05;4 > 
CTC4J;A79;13/7/2020_19:08:09;6 > 
CTC4J;A79;13/7/2020_19:38:31;5 > 
CTC4J;A79;13/7/2020_19:48:22;5 > 
CTC4J;A79;13/7/2020_20:00:17;6 > 
CTC4J;A79;13/7/2020_20:18:08;6 > 
CTC4J;A79;13/7/2020_21:18:22;6 > 
CTC4J;A79;13/7/2020_21:38:04;6 > 
CTC4J;A79;13/7/2020_22:00:26;7 > 
CTC4J;A79;13/7/2020_22:08:26;6 > 
CTC4J;A79;13/7/2020_22:48:30;5 > 
CTC4J;A79;13/7/2020_23:18:04;5 > 
CTC4J;A79;13/7/2020_23:38:35;4 > 
CTC4J;A79;13/7/2020_23:48:26;4 > 
CTC4J;A79;14/7/2020_00:00:17;4 > 
CTC4J;A79;14/7/2020_00:08:17;5 > 
CTC4J;A79;14/7/2020_00:18:18;7 > 
CTC4J;A79;14/7/2020_00:38:19;6 > 
CTC4J;A79;14/7/2020_00:48:10;4 > 
CTC4J;A79;14/7/2020_01:08:32;4 > 
CTC4J;A79;14/7/2020_01:18:23;4 > 
CTC4J;A79;14/7/2020_02:08:29;5 > 
CTC4J;A79;14/7/2020_02:18:30;7 > 
CTC4J;A79;14/7/2020_02:38:21;5 > 
CTC4J;A79;14/7/2020_03:00:12;6 > 
CTC4J;A79;14/7/2020_03:08:13;6 > 
CTC4J;A79;14/7/2020_04:00:37;6 > 
CTC4J;A79;14/7/2020_04:08:27;4 > 
CTC4J;A79;14/7/2020_04:18:18;5 > 
CTC4J;A79;14/7/2020_04:38:09;7 > 
CTC4J;A79;14/7/2020_05:08:34;4 > 
CTC4J;A79;14/7/2020_06:00:08;5 > 
CTC4J;A79;14/7/2020_06:18:39;7 > 
CTC4J;A79;14/7/2020_07:00:22;7 > 
CTC4J;A79;14/7/2020_07:28:04;6 > 
CTC4J;A79;14/7/2020_07:38:35;7 > 
CTC4J;A10;14/7/2020_10:43:38;6 > 
CTC4J;A10;14/7/2020_10:53:29;5 > 
CTC4J;A10;14/7/2020_11:13:03;7 > 
CTC4J;A10;23/7/2020_09:01:17;7 > 
CTC4J;A10;23/7/2020_09:01:48;7 > 
CTC4J;A10;23/7/2020_09:02:19;7 > 
CTC4J;A10;23/7/2020_09:02:59;7 > 
CTC4J;A10;23/7/2020_09:03:40;7 > 
CTC4J;A10;23/7/2020_09:04:10;7 > 
CTC4J;A10;27/7/2020_09:00:55;6 > 
CTC4J;A10;27/7/2020_09:01:35;4 > 
CTC4J;A10;27/7/2020_09:02:55;4 > 
CTC4J;A10;27/7/2020_09:03:26;5 > 
CTC4J;A10;27/7/2020_10:00:20;7 > 
CTC4J;A10;27/7/2020_10:01:00;5 > 
CTC4J;A10;27/7/2020_10:01:41;4 > 
CTC4J;A10;27/7/2020_10:03:31;7 > 
CTC4J;A10;27/7/2020_11:01:04;7 > 
CTC4J;A10;27/7/2020_11:01:44;7 > 
CTC4J;A10;27/7/2020_11:02:24;5 > 
CTC4J;A10;27/7/2020_11:03:35;7 > 
CTC4J;A10;27/7/2020_12:01:09;6 > 
CTC4J;A10;27/7/2020_12:01:49;5 > 
CTC4J;A10;27/7/2020_13:00:34;4 > 
CTC4J;A10;27/7/2020_13:01:14;7 > 
CTC4J;A10;27/7/2020_13:02:34;7 > 
CTC4J;A10;27/7/2020_13:03:45;4 > 
CTC4J;A10;27/7/2020_14:00:35;7 > 
CTC4J;A10;27/7/2020_14:08:35;7 > 
CTC4J;A10;27/7/2020_14:18:26;7 > 
CTC4J;A10;27/7/2020_14:28:17;7 > 
CTC4J;A10;27/7/2020_14:38:18;7 > 
CTC4J;A10;27/7/2020_14:48:09;7 > 
CTC4J;A10;27/7/2020_15:00:00;7 > 
CTC4J;A10;27/7/2020_15:08:31;7 > 
CTC4J;A10;28/7/2020_08:28:22;4 > 
CTC4J;A10;28/7/2020_09:08:27;7 > 
CTC4J;A10;28/7/2020_09:28:19;5 > 
CTC4J;A10;28/7/2020_09:48:32;5 > 
CTC4J;A10;29/7/2020_13:08:28;4 > 
CTC4J;A10;29/7/2020_13:48:06;4 > 
CTC4J;A10;29/7/2020_14:28:32;7 > 
CTC4J;A10;29/7/2020_15:08:38;4 > 
CTC4J;A10;4/8/2020_08:48:02;6 > 
CTC4J;A10;4/8/2020_09:08:29;7 > 
CTC4J;A10;4/8/2020_09:18:16;7 > 
CTC4J;A10;4/8/2020_09:38:00;7 > 
CTC4J;A10;4/8/2020_09:48:27;7 > 
CTC4J;A10;4/8/2020_12:08:24;5 > 
CTC4J;A10;4/8/2020_12:28:12;5 > 
CTC4J;A10;4/8/2020_12:38:08;4 > 
CTC4J;A10;4/8/2020_13:00:01;4 > 
CTC4J;A10;4/8/2020_13:08:37;7 > 
CTC4J;A10;4/8/2020_13:28:27;7 > 
CTC4J;A10;4/8/2020_13:38:04;7 > 
CTC4J;A10;4/8/2020_13:48:35;7 > 
CTC4J;A10;4/8/2020_14:00:27;7 > 
CTC4J;A10;10/8/2020_08:34:32;7 > 
CTC4J;A10;10/8/2020_08:46:51;6 > 
CTC4J;A10;10/8/2020_09:45:11;5 > 
CTC4J;A10;10/8/2020_09:55:02;6 > 
CTC4J;A10;10/8/2020_10:05:33;5 > 
CTC4J;A10;10/8/2020_10:15:38;5 > 
CTC4J;A10;10/8/2020_10:25:20;4 > 
CTC4J;A10;10/8/2020_12:25:26;6 > 
CTC4J;A10;10/8/2020_12:35:07;7 > 
CTC4J;A10;10/8/2020_12:55:35;7 > 
CTC4J;A10;10/8/2020_13:07:54;7 > 
CTC4J;A10;10/8/2020_13:15:15;7 > 
CTC4J;A10;10/8/2020_13:25:05;7 > 
CTC4J;A10;10/8/2020_13:35:37;7 > 
CTC4J;A10;10/8/2020_13:45:27;5 > 
CTC4J;A10;10/8/2020_13:55:18;6 > 
CTC4J;A10;10/8/2020_14:08:29;7 > 
CTC4J;A10;10/8/2020_14:18:20;6 > 
CTC4J;A10;10/8/2020_14:19:00;4 > 
CTC4J;A10;10/8/2020_14:28:11;4 > 
CTC4J;A10;10/8/2020_14:38:02;4 > 
CTC4J;A10;10/8/2020_14:48:33;4 > 
CTC4J;A10;10/8/2020_15:00:24;4 > 
CTC4J;A10;10/8/2020_15:08:15;5 > 
CTC4J;A10;10/8/2020_15:28:07;6 > 
CTC4J;A10;10/8/2020_15:38:37;5 > 
CTC4J;A10;10/8/2020_16:18:19;6 > 
CTC4J;A10;10/8/2020_16:48:01;5 > 
CTC4J;A10;10/8/2020_17:28:23;7 > 
CTC4J;A10;10/8/2020_17:48:05;7 > 
CTC4J;A10;10/8/2020_18:18:27;6 > 
CTC4J;A10;10/8/2020_18:28:27;5 > 
CTC4J;A10;10/8/2020_18:38:18;5 > 
CTC4J;A10;10/8/2020_18:48:18;4 > 
CTC4J;A10;10/8/2020_19:08:00;6 > 
CTC4J;A10;10/8/2020_19:28:31;4 > 
CTC4J;A10;10/8/2020_19:48:13;4 > 
CTC4J;A10;10/8/2020_21:00:17;6 > 
CTC4J;A10;10/8/2020_21:08:08;5 > 
CTC4J;A10;10/8/2020_21:18:39;5 > 
CTC4J;A10;10/8/2020_21:28:39;6 > 
CTC4J;A10;10/8/2020_22:00:21;6 > 
CTC4J;A10;10/8/2020_22:08:12;6 > 
CTC4J;A10;10/8/2020_22:18:03;7 > 
CTC4J;A10;10/8/2020_22:38:04;7 > 
CTC4J;A10;10/8/2020_23:00:26;5 > 
CTC4J;A10;10/8/2020_23:18:17;4 > 
CTC4J;A10;10/8/2020_23:38:08;6 > 
CTC4J;A10;11/8/2020_00:00:30;4 > 
CTC4J;A10;11/8/2020_00:08:30;7 > 
CTC4J;A10;11/8/2020_00:28:12;5 > 
CTC4J;A10;11/8/2020_00:38:03;7 > 
CTC4J;A10;11/8/2020_00:48:03;7 > 
CTC4J;A10;11/8/2020_01:08:25;4 > 
CTC4J;A10;11/8/2020_02:00:38;5 > 
CTC4J;A10;11/8/2020_02:48:11;6 > 
CTC4J;A10;11/8/2020_03:18:33;6 > 
CTC4J;A10;11/8/2020_04:48:10;7 > 
CTC4J;A10;11/8/2020_05:18:33;6 > 
CTC4J;A10;11/8/2020_05:38:14;4 > 
CTC4J;A10;11/8/2020_06:18:36;4 > 
CTC4J;A10;11/8/2020_06:28:18;7 > 
