Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4K;A135;13/7/2020_10:33:31;4 > 
CTC4K;A135;13/7/2020_10:53:33;5 > 
CTC4K;A135;13/7/2020_11:53:04;7 > 
CTC4K;A135;13/7/2020_12:13:29;6 > 
CTC4K;A80;13/7/2020_12:55:14;6 > 
CTC4K;A80;13/7/2020_13:45:30;5 > 
CTC4K;A80;13/7/2020_14:05:05;7 > 
CTC4K;A80;13/7/2020_15:38:25;6 > 
CTC4K;A80;13/7/2020_16:01:06;6 > 
CTC4K;A80;13/7/2020_16:08:24;5 > 
CTC4K;A80;13/7/2020_16:18:37;4 > 
CTC4K;A80;13/7/2020_16:48:10;5 > 
CTC4K;A80;13/7/2020_17:18:21;6 > 
CTC4K;A80;13/7/2020_17:38:12;6 > 
CTC4K;A80;13/7/2020_18:01:07;6 > 
CTC4K;A80;13/7/2020_18:18:23;5 > 
CTC4K;A80;13/7/2020_18:29:09;7 > 
CTC4K;A80;13/7/2020_19:28:01;4 > 
CTC4K;A80;13/7/2020_19:38:31;5 > 
CTC4K;A80;13/7/2020_19:48:22;4 > 
CTC4K;A80;13/7/2020_20:00:17;4 > 
CTC4K;A80;13/7/2020_20:28:39;5 > 
CTC4K;A80;13/7/2020_21:08:22;4 > 
CTC4K;A80;13/7/2020_21:18:22;6 > 
CTC4K;A80;13/7/2020_21:38:04;6 > 
CTC4K;A80;13/7/2020_22:00:26;6 > 
CTC4K;A80;13/7/2020_22:48:30;5 > 
CTC4K;A80;13/7/2020_23:00:22;7 > 
CTC4K;A80;13/7/2020_23:08:13;6 > 
CTC4K;A80;13/7/2020_23:38:35;5 > 
CTC4K;A80;14/7/2020_00:00:17;7 > 
CTC4K;A80;14/7/2020_00:18:18;6 > 
CTC4K;A80;14/7/2020_00:28:19;7 > 
CTC4K;A80;14/7/2020_00:48:10;4 > 
CTC4K;A80;14/7/2020_01:18:23;5 > 
CTC4K;A80;14/7/2020_02:00:28;7 > 
CTC4K;A80;14/7/2020_02:38:21;4 > 
CTC4K;A80;14/7/2020_03:08:13;7 > 
CTC4K;A80;14/7/2020_03:38:05;6 > 
CTC4K;A80;14/7/2020_03:48:36;7 > 
CTC4K;A80;14/7/2020_04:28:19;5 > 
CTC4K;A80;14/7/2020_04:38:09;7 > 
CTC4K;A80;14/7/2020_05:48:07;7 > 
CTC4K;A80;14/7/2020_06:18:39;7 > 
CTC4K;A80;14/7/2020_06:28:30;6 > 
CTC4K;A80;14/7/2020_06:38:31;4 > 
CTC4K;A80;14/7/2020_07:00:22;4 > 
CTC4K;A80;14/7/2020_07:08:13;4 > 
CTC4K;A80;14/7/2020_07:18:13;5 > 
CTC4K;A80;14/7/2020_07:48:35;4 > 
CTC4K;A80;14/7/2020_08:08:19;4 > 
CTC4K;A11;14/7/2020_10:53:29;7 > 
CTC4K;A11;14/7/2020_11:03:03;6 > 
CTC4K;A11;14/7/2020_11:23:34;5 > 
CTC4K;A11;14/7/2020_11:47:04;6 > 
CTC4K;A11;23/7/2020_09:01:17;4 > 
