Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4L;A137;13/7/2020_10:13:23;6 > 
CTC4L;A137;13/7/2020_10:33:31;5 > 
CTC4L;A137;13/7/2020_11:13:02;6 > 
CTC4L;A137;13/7/2020_11:53:04;5 > 
CTC4L;A35;29/7/2020_13:18:29;7 > 
CTC4L;A35;29/7/2020_13:33:30;6 > 
CTC4L;A35;29/7/2020_14:18:01;7 > 
CTC4L;A35;29/7/2020_14:33:12;6 > 
CTC4L;A35;3/8/2020_08:18:07;5 > 
CTC4L;A35;4/8/2020_09:18:22;4 > 
CTC4L;A35;4/8/2020_09:33:20;6 > 
CTC4L;A35;4/8/2020_10:18:26;7 > 
CTC4L;A35;4/8/2020_12:08:34;6 > 
CTC4L;A35;4/8/2020_12:38:14;7 > 
CTC4L;A35;4/8/2020_13:08:43;7 > 
CTC4L;A35;4/8/2020_13:27:47;4 > 
CTC4L;A35;4/8/2020_13:38:15;4 > 
CTC4L;A35;4/8/2020_13:53:07;4 > 
CTC4L;A35;10/8/2020_08:34:32;4 > 
CTC4L;A35;10/8/2020_08:46:51;5 > 
CTC4L;A35;10/8/2020_09:45:11;4 > 
CTC4L;A35;10/8/2020_10:00:22;7 > 
CTC4L;A35;10/8/2020_10:15:38;6 > 
CTC4L;A35;10/8/2020_10:30:00;6 > 
CTC4L;A35;10/8/2020_10:45:23;5 > 
CTC4L;A35;10/8/2020_11:00:31;5 > 
CTC4L;A35;10/8/2020_11:15:33;5 > 
CTC4L;A35;10/8/2020_11:30:04;5 > 
CTC4L;A35;10/8/2020_11:48:29;5 > 
CTC4L;A35;10/8/2020_12:00:10;5 > 
CTC4L;A35;10/8/2020_12:15:36;5 > 
CTC4L;A35;10/8/2020_13:00:06;7 > 
CTC4L;A35;10/8/2020_13:15:15;7 > 
CTC4L;A35;10/8/2020_13:30:16;7 > 
CTC4L;A35;10/8/2020_13:45:27;5 > 
CTC4L;A35;10/8/2020_14:00:29;6 > 
CTC4L;A35;10/8/2020_14:38:02;5 > 
CTC4L;A35;10/8/2020_14:53:04;6 > 
CTC4L;A35;10/8/2020_15:38:37;5 > 
CTC4L;A35;10/8/2020_15:53:08;7 > 
CTC4L;A35;10/8/2020_16:38:11;5 > 
CTC4L;A35;10/8/2020_17:08:32;5 > 
CTC4L;A35;10/8/2020_17:53:25;7 > 
CTC4L;A35;10/8/2020_18:08:36;4 > 
CTC4L;A35;10/8/2020_18:23:07;4 > 
CTC4L;A35;10/8/2020_19:08:00;4 > 
CTC4L;A35;10/8/2020_19:23:11;6 > 
CTC4L;A35;10/8/2020_20:23:15;6 > 
CTC4L;A35;10/8/2020_20:38:26;4 > 
CTC4L;A35;10/8/2020_20:53:37;7 > 
CTC4L;A35;10/8/2020_21:08:08;6 > 
CTC4L;A35;10/8/2020_21:23:19;6 > 
CTC4L;A35;10/8/2020_22:23:23;6 > 
CTC4L;A35;10/8/2020_22:38:04;6 > 
CTC4L;A35;10/8/2020_22:53:15;7 > 
CTC4L;A35;10/8/2020_23:08:27;5 > 
CTC4L;A35;10/8/2020_23:23:28;7 > 
CTC4L;A35;10/8/2020_23:53:19;7 > 
CTC4L;A35;11/8/2020_00:23:32;5 > 
CTC4L;A35;11/8/2020_01:23:36;4 > 
CTC4L;A35;11/8/2020_01:38:07;7 > 
