Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4M;A138;13/7/2020_11:33:01;4 > 
CTC4M;A138;13/7/2020_11:53:04;7 > 
CTC4M;A36;29/7/2020_13:18:29;7 > 
CTC4M;A36;29/7/2020_13:33:30;5 > 
CTC4M;A36;29/7/2020_13:48:06;6 > 
CTC4M;A36;29/7/2020_14:33:12;5 > 
CTC4M;A36;29/7/2020_15:18:31;5 > 
CTC4M;A36;29/7/2020_15:33:07;5 > 
CTC4M;A36;3/8/2020_08:33:17;6 > 
CTC4M;A36;3/8/2020_08:48:20;6 > 
CTC4M;A36;3/8/2020_09:03:31;6 > 
CTC4M;A36;3/8/2020_09:18:02;6 > 
CTC4M;A36;3/8/2020_09:33:04;6 > 
CTC4M;A36;3/8/2020_09:48:15;6 > 
CTC4M;A36;3/8/2020_10:03:35;6 > 
CTC4M;A36;3/8/2020_10:18:06;6 > 
CTC4M;A36;3/8/2020_10:33:11;6 > 
CTC4M;A36;3/8/2020_10:48:22;6 > 
CTC4M;A36;3/8/2020_11:03:24;6 > 
CTC4M;A36;3/8/2020_11:18:33;6 > 
CTC4M;A36;3/8/2020_11:33:07;6 > 
CTC4M;A36;3/8/2020_11:48:31;6 > 
CTC4M;A36;3/8/2020_12:03:11;6 > 
CTC4M;A36;3/8/2020_12:18:22;6 > 
CTC4M;A36;3/8/2020_12:33:33;6 > 
CTC4M;A36;3/8/2020_12:48:13;6 > 
CTC4M;A36;3/8/2020_13:03:24;6 > 
CTC4M;A36;3/8/2020_13:18:00;6 > 
CTC4M;A36;3/8/2020_13:33:11;6 > 
CTC4M;A36;3/8/2020_13:48:34;6 > 
CTC4M;A36;3/8/2020_14:06:44;6 > 
CTC4M;A36;3/8/2020_14:18:04;6 > 
CTC4M;A36;3/8/2020_14:33:15;6 > 
CTC4M;A36;3/8/2020_14:48:36;6 > 
CTC4M;A36;3/8/2020_15:03:06;6 > 
CTC4M;A36;4/8/2020_09:03:09;7 > 
CTC4M;A36;4/8/2020_10:18:26;5 > 
CTC4M;A36;4/8/2020_12:08:34;4 > 
CTC4M;A36;4/8/2020_12:23:32;7 > 
CTC4M;A36;4/8/2020_13:08:43;5 > 
CTC4M;A36;10/8/2020_08:34:32;7 > 
CTC4M;A36;10/8/2020_09:30:09;5 > 
CTC4M;A36;10/8/2020_09:45:11;7 > 
CTC4M;A36;10/8/2020_10:00:22;6 > 
CTC4M;A36;10/8/2020_10:15:38;4 > 
CTC4M;A36;10/8/2020_10:30:00;5 > 
CTC4M;A36;10/8/2020_10:45:23;7 > 
CTC4M;A36;10/8/2020_11:00:31;7 > 
CTC4M;A36;10/8/2020_11:15:33;7 > 
CTC4M;A36;10/8/2020_11:30:04;7 > 
CTC4M;A36;10/8/2020_11:48:29;7 > 
CTC4M;A36;10/8/2020_12:00:10;7 > 
CTC4M;A36;10/8/2020_12:15:36;7 > 
CTC4M;A36;10/8/2020_12:45:28;4 > 
CTC4M;A36;10/8/2020_14:00:29;5 > 
CTC4M;A36;10/8/2020_14:08:29;7 > 
CTC4M;A36;10/8/2020_15:23:26;6 > 
CTC4M;A36;10/8/2020_16:23:30;4 > 
CTC4M;A36;10/8/2020_16:38:11;4 > 
CTC4M;A36;10/8/2020_16:53:21;4 > 
CTC4M;A36;10/8/2020_17:08:32;7 > 
CTC4M;A36;10/8/2020_17:53:25;7 > 
CTC4M;A36;10/8/2020_18:23:07;6 > 
CTC4M;A36;10/8/2020_18:53:29;7 > 
CTC4M;A36;10/8/2020_19:38:22;6 > 
CTC4M;A36;10/8/2020_19:53:33;6 > 
CTC4M;A36;10/8/2020_20:23:15;5 > 
CTC4M;A36;10/8/2020_20:38:26;7 > 
CTC4M;A36;10/8/2020_20:53:37;4 > 
CTC4M;A36;10/8/2020_21:23:19;6 > 
CTC4M;A36;10/8/2020_22:08:12;4 > 
CTC4M;A36;10/8/2020_22:23:23;6 > 
CTC4M;A36;10/8/2020_22:38:05;4 > 
CTC4M;A36;10/8/2020_22:53:15;7 > 
CTC4M;A36;10/8/2020_23:08:27;4 > 
CTC4M;A36;11/8/2020_00:08:30;5 > 
CTC4M;A36;11/8/2020_00:23:32;6 > 
CTC4M;A36;11/8/2020_00:53:14;4 > 
CTC4M;A36;11/8/2020_01:08:25;6 > 
CTC4M;A36;11/8/2020_01:23:36;6 > 
CTC4M;A36;11/8/2020_02:08:29;5 > 
CTC4M;A36;11/8/2020_02:23:00;5 > 
CTC4M;A36;11/8/2020_02:38:11;4 > 
CTC4M;A36;11/8/2020_02:53:22;4 > 
CTC4M;A36;11/8/2020_03:08:33;4 > 
CTC4M;A36;11/8/2020_03:23:04;6 > 
CTC4M;A36;11/8/2020_03:53:17;4 > 
CTC4M;A36;11/8/2020_04:53:21;7 > 
CTC4M;A36;11/8/2020_05:08:32;4 > 
CTC4M;A36;11/8/2020_05:38:14;4 > 
CTC4M;A36;11/8/2020_06:08:36;6 > 
CTC4M;A36;11/8/2020_06:53:20;6 > 
CTC4M;A36;11/8/2020_07:38:04;6 > 
CTC4M;A36;11/8/2020_07:53:15;7 > 
CTC4M;A36;11/8/2020_08:08:34;7 > 
CTC4M;A36;11/8/2020_08:23:36;5 > 
CTC4M;A36;11/8/2020_08:53:18;6 > 
CTC4M;A36;11/8/2020_09:08:16;5 > 
CTC4M;A36;11/8/2020_09:23:09;7 > 
CTC4M;A36;11/8/2020_09:38:29;7 > 
CTC4M;A36;11/8/2020_10:23:00;6 > 
CTC4M;A36;11/8/2020_10:38:25;6 > 
CTC4M;A36;11/8/2020_10:53:36;6 > 
CTC4M;A36;11/8/2020_11:08:07;6 > 
CTC4M;A36;11/8/2020_14:12:31;5 > 
