Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4N;A139;13/7/2020_10:13:23;6 > 
CTC4N;A139;13/7/2020_10:33:31;6 > 
CTC4N;A139;13/7/2020_10:53:33;4 > 
CTC4N;A139;13/7/2020_11:13:02;6 > 
CTC4N;A139;13/7/2020_11:33:01;6 > 
CTC4N;A37;29/7/2020_13:33:30;4 > 
CTC4N;A37;29/7/2020_14:03:30;6 > 
CTC4N;A37;29/7/2020_14:33:12;7 > 
CTC4N;A37;29/7/2020_14:48:17;5 > 
CTC4N;A37;29/7/2020_15:18:31;4 > 
CTC4N;A37;29/7/2020_15:33:07;4 > 
CTC4N;A37;3/8/2020_08:18:07;7 > 
CTC4N;A37;3/8/2020_08:33:17;6 > 
CTC4N;A37;3/8/2020_08:48:20;6 > 
CTC4N;A37;3/8/2020_09:03:31;6 > 
CTC4N;A37;3/8/2020_09:18:02;6 > 
CTC4N;A37;3/8/2020_09:33:04;6 > 
CTC4N;A37;3/8/2020_09:48:15;6 > 
CTC4N;A37;3/8/2020_10:03:35;6 > 
CTC4N;A37;3/8/2020_10:18:06;6 > 
CTC4N;A37;3/8/2020_10:33:11;6 > 
CTC4N;A37;3/8/2020_10:48:22;6 > 
CTC4N;A37;3/8/2020_11:03:24;6 > 
CTC4N;A37;3/8/2020_11:18:33;6 > 
CTC4N;A37;3/8/2020_11:33:07;6 > 
CTC4N;A37;3/8/2020_11:48:31;6 > 
CTC4N;A37;3/8/2020_12:03:11;6 > 
CTC4N;A37;3/8/2020_12:18:22;6 > 
CTC4N;A37;3/8/2020_12:33:33;6 > 
CTC4N;A37;3/8/2020_12:48:13;6 > 
CTC4N;A37;3/8/2020_13:03:24;6 > 
CTC4N;A37;3/8/2020_13:18:00;6 > 
CTC4N;A37;3/8/2020_13:33:11;6 > 
CTC4N;A37;3/8/2020_13:48:34;6 > 
CTC4N;A37;3/8/2020_14:06:44;6 > 
CTC4N;A37;3/8/2020_14:18:04;6 > 
CTC4N;A37;3/8/2020_14:33:15;6 > 
CTC4N;A37;3/8/2020_14:48:36;6 > 
CTC4N;A37;3/8/2020_15:03:06;6 > 
CTC4N;A37;4/8/2020_09:18:22;7 > 
CTC4N;A37;4/8/2020_09:33:20;6 > 
CTC4N;A37;4/8/2020_10:03:01;7 > 
CTC4N;A37;4/8/2020_12:08:34;4 > 
CTC4N;A37;4/8/2020_13:08:43;4 > 
CTC4N;A37;4/8/2020_13:27:47;7 > 
CTC4N;A37;4/8/2020_13:38:15;7 > 
CTC4N;A37;4/8/2020_13:53:07;7 > 
CTC4N;A37;10/8/2020_08:34:32;6 > 
CTC4N;A37;10/8/2020_08:46:51;6 > 
CTC4N;A37;10/8/2020_09:00:07;5 > 
CTC4N;A37;10/8/2020_09:15:28;5 > 
CTC4N;A37;10/8/2020_09:30:09;6 > 
CTC4N;A37;10/8/2020_09:45:11;6 > 
CTC4N;A37;10/8/2020_10:00:22;4 > 
CTC4N;A37;10/8/2020_10:08:04;5 > 
CTC4N;A37;10/8/2020_10:21:20;5 > 
CTC4N;A37;10/8/2020_12:51:19;6 > 
CTC4N;A37;10/8/2020_13:51:18;7 > 
CTC4N;A37;10/8/2020_14:36:02;5 > 
CTC4N;A37;10/8/2020_14:36:42;7 > 
CTC4N;A37;10/8/2020_15:06:15;5 > 
CTC4N;A37;10/8/2020_15:21:26;6 > 
CTC4N;A37;10/8/2020_15:36:37;6 > 
CTC4N;A37;10/8/2020_16:06:19;4 > 
CTC4N;A37;10/8/2020_16:21:30;5 > 
