Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4O;A140;13/7/2020_11:33:01;7 > 
CTC4O;A38;29/7/2020_13:03:17;6 > 
CTC4O;A38;29/7/2020_13:33:30;7 > 
CTC4O;A38;29/7/2020_14:03:30;4 > 
CTC4O;A38;29/7/2020_14:18:01;6 > 
CTC4O;A38;29/7/2020_14:48:17;6 > 
CTC4O;A38;29/7/2020_15:03:18;4 > 
CTC4O;A38;29/7/2020_15:18:31;7 > 
CTC4O;A38;29/7/2020_15:33:07;7 > 
CTC4O;A38;3/8/2020_08:33:18;4 > 
CTC4O;A38;3/8/2020_08:48:20;4 > 
CTC4O;A38;3/8/2020_09:03:31;4 > 
CTC4O;A38;3/8/2020_09:18:02;4 > 
CTC4O;A38;3/8/2020_09:33:04;4 > 
CTC4O;A38;3/8/2020_09:48:15;4 > 
CTC4O;A38;3/8/2020_10:03:35;4 > 
CTC4O;A38;3/8/2020_10:18:06;4 > 
CTC4O;A38;3/8/2020_10:33:11;4 > 
CTC4O;A38;3/8/2020_10:48:22;4 > 
CTC4O;A38;3/8/2020_11:03:24;4 > 
CTC4O;A38;3/8/2020_11:18:33;4 > 
CTC4O;A38;3/8/2020_11:33:07;4 > 
CTC4O;A38;3/8/2020_11:48:31;4 > 
CTC4O;A38;3/8/2020_12:03:11;4 > 
CTC4O;A38;3/8/2020_12:18:22;4 > 
CTC4O;A38;3/8/2020_12:33:33;4 > 
CTC4O;A38;3/8/2020_12:48:13;4 > 
CTC4O;A38;3/8/2020_13:03:24;4 > 
CTC4O;A38;3/8/2020_13:18:00;4 > 
CTC4O;A38;3/8/2020_13:33:11;4 > 
CTC4O;A38;3/8/2020_13:48:34;4 > 
CTC4O;A38;3/8/2020_14:06:44;4 > 
CTC4O;A38;3/8/2020_14:18:05;4 > 
CTC4O;A38;3/8/2020_14:33:15;4 > 
CTC4O;A38;3/8/2020_14:48:36;4 > 
CTC4O;A38;3/8/2020_15:03:06;4 > 
CTC4O;A38;4/8/2020_08:48:11;4 > 
CTC4O;A38;4/8/2020_09:03:09;5 > 
CTC4O;A38;4/8/2020_09:48:34;5 > 
CTC4O;A38;4/8/2020_12:08:35;6 > 
CTC4O;A38;4/8/2020_13:08:43;7 > 
CTC4O;A38;10/8/2020_08:46:51;5 > 
CTC4O;A38;10/8/2020_10:30:00;7 > 
CTC4O;A38;10/8/2020_10:45:23;6 > 
CTC4O;A38;10/8/2020_11:00:31;6 > 
CTC4O;A38;10/8/2020_11:15:33;6 > 
CTC4O;A38;10/8/2020_11:30:04;6 > 
CTC4O;A38;10/8/2020_11:48:29;6 > 
CTC4O;A38;10/8/2020_12:00:10;6 > 
CTC4O;A38;10/8/2020_12:15:36;6 > 
CTC4O;A38;10/8/2020_12:30:36;6 > 
CTC4O;A38;10/8/2020_12:45:28;4 > 
CTC4O;A38;10/8/2020_16:08:19;7 > 
CTC4O;A38;10/8/2020_16:23:30;7 > 
CTC4O;A38;10/8/2020_16:38:11;5 > 
CTC4O;A38;10/8/2020_16:53:21;4 > 
CTC4O;A38;10/8/2020_17:23:03;5 > 
CTC4O;A38;10/8/2020_17:38:14;4 > 
