Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4P;A141;13/7/2020_10:13:23;5 > 
CTC4P;A141;13/7/2020_11:13:02;5 > 
CTC4P;A141;13/7/2020_11:53:04;7 > 
CTC4P;A141;13/7/2020_12:13:29;5 > 
CTC4P;A39;29/7/2020_13:03:17;6 > 
CTC4P;A39;29/7/2020_13:48:06;6 > 
CTC4P;A39;29/7/2020_14:03:30;4 > 
CTC4P;A39;29/7/2020_15:18:32;6 > 
CTC4P;A39;29/7/2020_15:33:07;6 > 
CTC4P;A39;4/8/2020_08:48:11;4 > 
CTC4P;A39;4/8/2020_09:03:09;7 > 
CTC4P;A39;4/8/2020_09:18:22;6 > 
CTC4P;A39;4/8/2020_09:33:20;7 > 
CTC4P;A39;4/8/2020_09:48:34;5 > 
CTC4P;A39;4/8/2020_10:03:01;5 > 
CTC4P;A39;4/8/2020_12:08:35;4 > 
CTC4P;A39;4/8/2020_12:23:32;6 > 
CTC4P;A39;4/8/2020_12:38:14;6 > 
CTC4P;A39;4/8/2020_13:08:43;7 > 
CTC4P;A39;4/8/2020_13:27:47;5 > 
CTC4P;A39;4/8/2020_13:38:15;5 > 
CTC4P;A39;4/8/2020_13:53:07;5 > 
CTC4P;A39;10/8/2020_08:34:32;7 > 
CTC4P;A39;10/8/2020_09:30:09;7 > 
CTC4P;A39;10/8/2020_09:45:11;4 > 
CTC4P;A39;10/8/2020_10:30:00;4 > 
CTC4P;A39;10/8/2020_12:45:28;7 > 
CTC4P;A39;10/8/2020_13:45:27;5 > 
CTC4P;A39;10/8/2020_14:08:29;4 > 
CTC4P;A39;10/8/2020_15:23:26;4 > 
CTC4P;A39;10/8/2020_15:38:37;6 > 
CTC4P;A39;10/8/2020_15:53:08;6 > 
CTC4P;A39;10/8/2020_16:08:19;5 > 
CTC4P;A39;10/8/2020_16:38:11;6 > 
CTC4P;A39;10/8/2020_17:08:32;4 > 
CTC4P;A39;10/8/2020_17:38:14;7 > 
CTC4P;A39;10/8/2020_18:53:29;7 > 
CTC4P;A39;10/8/2020_19:23:11;6 > 
CTC4P;A39;10/8/2020_19:38:22;6 > 
CTC4P;A39;10/8/2020_19:53:33;7 > 
