Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC4R;A136;13/7/2020_10:53:33;4 > 
CTC4R;A136;13/7/2020_11:13:02;4 > 
CTC4R;A136;13/7/2020_11:53:04;6 > 
CTC4R;A34;29/7/2020_13:03:17;7 > 
CTC4R;A34;29/7/2020_13:18:29;5 > 
CTC4R;A34;29/7/2020_13:33:30;6 > 
CTC4R;A34;29/7/2020_13:48:06;6 > 
CTC4R;A34;29/7/2020_14:03:30;6 > 
CTC4R;A34;29/7/2020_14:33:12;6 > 
CTC4R;A34;29/7/2020_14:48:17;7 > 
CTC4R;A34;29/7/2020_15:03:18;7 > 
CTC4R;A34;29/7/2020_15:18:31;7 > 
CTC4R;A34;29/7/2020_15:33:07;7 > 
CTC4R;A34;3/8/2020_08:18:07;4 > 
CTC4R;A34;4/8/2020_09:18:22;6 > 
CTC4R;A34;4/8/2020_09:33:20;5 > 
CTC4R;A34;4/8/2020_09:48:34;7 > 
CTC4R;A34;4/8/2020_10:18:26;7 > 
CTC4R;A34;4/8/2020_10:33:24;4 > 
CTC4R;A34;4/8/2020_12:08:34;5 > 
CTC4R;A34;4/8/2020_12:23:32;4 > 
CTC4R;A34;4/8/2020_12:53:21;7 > 
CTC4R;A34;4/8/2020_13:27:47;4 > 
CTC4R;A34;4/8/2020_13:38:15;4 > 
CTC4R;A34;4/8/2020_13:53:07;4 > 
CTC4R;A34;10/8/2020_09:30:09;4 > 
CTC4R;A34;10/8/2020_09:45:11;4 > 
CTC4R;A34;10/8/2020_10:15:38;6 > 
CTC4R;A34;10/8/2020_13:00:06;5 > 
CTC4R;A34;10/8/2020_13:15:15;5 > 
CTC4R;A34;10/8/2020_13:30:16;5 > 
CTC4R;A34;10/8/2020_14:08:29;5 > 
CTC4R;A34;10/8/2020_14:53:04;6 > 
CTC4R;A34;10/8/2020_15:23:26;4 > 
CTC4R;A34;10/8/2020_16:08:19;6 > 
CTC4R;A34;10/8/2020_16:23:30;4 > 
CTC4R;A34;10/8/2020_16:53:21;5 > 
CTC4R;A34;10/8/2020_17:23:03;6 > 
CTC4R;A34;10/8/2020_17:53:25;5 > 
CTC4R;A34;10/8/2020_18:23:07;6 > 
CTC4R;A34;10/8/2020_19:08:00;4 > 
CTC4R;A34;10/8/2020_19:38:22;5 > 
CTC4R;A34;10/8/2020_19:53:33;5 > 
CTC4R;A34;10/8/2020_20:38:26;7 > 
CTC4R;A34;10/8/2020_20:53:37;6 > 
CTC4R;A34;10/8/2020_21:08:08;4 > 
CTC4R;A34;10/8/2020_21:38:30;6 > 
CTC4R;A34;10/8/2020_22:23:23;6 > 
CTC4R;A34;10/8/2020_22:53:15;4 > 
CTC4R;A34;10/8/2020_23:08:27;5 > 
CTC4R;A34;10/8/2020_23:38:09;6 > 
CTC4R;A34;11/8/2020_00:38:03;4 > 
CTC4R;A34;11/8/2020_02:08:29;6 > 
CTC4R;A34;11/8/2020_02:23:00;7 > 
CTC4R;A34;11/8/2020_02:38:11;5 > 
CTC4R;A34;11/8/2020_02:53:22;5 > 
CTC4R;A34;11/8/2020_03:08:33;6 > 
CTC4R;A34;11/8/2020_03:53:17;4 > 
CTC4R;A34;11/8/2020_04:38:20;5 > 
CTC4R;A34;11/8/2020_04:53:21;5 > 
CTC4R;A34;11/8/2020_05:23:03;6 > 
CTC4R;A34;11/8/2020_05:38:14;7 > 
CTC4R;A34;11/8/2020_05:53:25;7 > 
CTC4R;A34;11/8/2020_07:53:15;6 > 
CTC4R;A34;11/8/2020_08:23:36;5 > 
CTC4R;A34;11/8/2020_08:53:18;5 > 
CTC4R;A34;11/8/2020_09:08:16;5 > 
CTC4R;A34;11/8/2020_09:23:09;7 > 
CTC4R;A34;11/8/2020_09:38:29;7 > 
CTC4R;A34;11/8/2020_09:53:34;7 > 
CTC4R;A34;11/8/2020_10:23:00;4 > 
CTC4R;A34;11/8/2020_10:38:25;4 > 
CTC4R;A34;11/8/2020_10:53:36;4 > 
CTC4R;A34;11/8/2020_11:08:07;4 > 
CTC4R;A34;11/8/2020_14:28:30;5 > 
CTC4R;A34;11/8/2020_14:43:01;4 > 
CTC4R;A34;11/8/2020_15:00:24;6 > 
CTC4R;A34;13/8/2020_12:20:10;3 > 
