Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC5B;A143;13/7/2020_10:33:31;6 > 
CTC5B;A143;13/7/2020_11:53:04;5 > 
CTC5B;A30;14/7/2020_08:53:02;4 > 
CTC5B;A41;4/8/2020_08:48:11;7 > 
CTC5B;A41;4/8/2020_09:00:38;6 > 
CTC5B;A41;4/8/2020_09:08:35;6 > 
CTC5B;A41;4/8/2020_09:38:06;3 > 
CTC5B;A41;4/8/2020_09:48:34;3 > 
CTC5B;A41;4/8/2020_10:00:31;3 > 
CTC5B;A41;4/8/2020_10:08:28;3 > 
CTC5B;A41;4/8/2020_10:18:26;7 > 
CTC5B;A41;4/8/2020_12:38:14;6 > 
CTC5B;A41;4/8/2020_12:48:11;4 > 
CTC5B;A41;4/8/2020_13:00:07;5 > 
CTC5B;A41;4/8/2020_13:08:43;3 > 
CTC5B;A41;4/8/2020_13:18:30;3 > 
CTC5B;A41;4/8/2020_13:28:38;4 > 
CTC5B;A41;4/8/2020_13:38:15;4 > 
CTC5B;A41;4/8/2020_13:48:47;4 > 
CTC5B;A41;4/8/2020_14:00:38;4 > 
CTC5B;A41;10/8/2020_08:34:32;6 > 
CTC5B;A41;10/8/2020_08:43:03;7 > 
CTC5B;A41;10/8/2020_08:46:51;4 > 
CTC5B;A41;10/8/2020_08:55:13;3 > 
CTC5B;A41;10/8/2020_09:05:27;3 > 
CTC5B;A41;10/8/2020_09:15:28;3 > 
CTC5B;A41;10/8/2020_09:25:16;3 > 
CTC5B;A41;10/8/2020_09:35:20;7 > 
CTC5B;A41;10/8/2020_09:45:11;4 > 
CTC5B;A41;10/8/2020_10:05:33;5 > 
CTC5B;A41;10/8/2020_10:15:38;7 > 
CTC5B;A41;10/8/2020_12:35:07;5 > 
CTC5B;A41;10/8/2020_14:08:30;4 > 
CTC5B;A41;10/8/2020_14:18:20;6 > 
CTC5B;A41;10/8/2020_14:28:11;5 > 
CTC5B;A41;10/8/2020_14:38:02;3 > 
CTC5B;A41;10/8/2020_14:48:33;7 > 
CTC5B;A41;10/8/2020_15:38:37;7 > 
CTC5B;A41;10/8/2020_15:48:28;4 > 
CTC5B;A41;10/8/2020_16:00:28;3 > 
CTC5B;A41;10/8/2020_16:18:20;6 > 
CTC5B;A41;10/8/2020_16:28:10;3 > 
CTC5B;A41;10/8/2020_16:38:11;7 > 
CTC5B;A41;10/8/2020_16:48:01;4 > 
CTC5B;A41;10/8/2020_17:00:32;7 > 
CTC5B;A41;10/8/2020_17:08:32;3 > 
CTC5B;A41;10/8/2020_17:28:24;7 > 
CTC5B;A41;10/8/2020_17:38:14;3 > 
CTC5B;A41;10/8/2020_18:00:05;6 > 
CTC5B;A41;10/8/2020_18:38:18;5 > 
CTC5B;A41;10/8/2020_19:00:09;7 > 
CTC5B;A41;10/8/2020_19:38:22;5 > 
CTC5B;A41;10/8/2020_19:48:13;5 > 
CTC5B;A41;10/8/2020_20:00:13;4 > 
CTC5B;A41;10/8/2020_20:08:04;6 > 
CTC5B;A41;10/8/2020_20:18:05;5 > 
CTC5B;A41;10/8/2020_20:28:35;3 > 
CTC5B;A41;10/8/2020_20:48:27;4 > 
CTC5B;A41;10/8/2020_21:00:18;7 > 
CTC5B;A41;10/8/2020_21:18:39;6 > 
CTC5B;A41;10/8/2020_21:28:39;5 > 
CTC5B;A41;10/8/2020_21:38:30;7 > 
CTC5B;A41;10/8/2020_22:00:22;7 > 
CTC5B;A41;10/8/2020_22:08:12;3 > 
CTC5B;A41;10/8/2020_22:18:03;7 > 
CTC5B;A41;10/8/2020_22:28:04;5 > 
CTC5B;A41;10/8/2020_22:38:05;4 > 
CTC5B;A41;10/8/2020_22:48:35;6 > 
CTC5B;A41;10/8/2020_23:00:26;6 > 
CTC5B;A41;10/8/2020_23:08:27;5 > 
CTC5B;A41;10/8/2020_23:18:17;7 > 
CTC5B;A41;10/8/2020_23:28:08;5 > 
CTC5B;A41;10/8/2020_23:38:09;7 > 
CTC5B;A41;10/8/2020_23:48:39;7 > 
CTC5B;A41;11/8/2020_00:00:30;4 > 
CTC5B;A41;11/8/2020_00:08:30;7 > 
CTC5B;A41;11/8/2020_00:18:21;3 > 
CTC5B;A41;11/8/2020_00:28:12;3 > 
CTC5B;A41;11/8/2020_00:48:03;5 > 
CTC5B;A41;11/8/2020_01:08:25;6 > 
CTC5B;A41;11/8/2020_01:38:07;5 > 
CTC5B;A41;11/8/2020_02:00:38;4 > 
CTC5B;A41;11/8/2020_02:08:29;3 > 
CTC5B;A41;11/8/2020_02:18:20;5 > 
CTC5B;A41;11/8/2020_02:28:20;3 > 
CTC5B;A41;11/8/2020_03:00:02;5 > 
CTC5B;A41;11/8/2020_03:08:33;4 > 
CTC5B;A41;11/8/2020_03:38:15;5 > 
CTC5B;A41;11/8/2020_03:48:06;6 > 
CTC5B;A41;11/8/2020_04:00:37;6 > 
CTC5B;A41;11/8/2020_04:28:19;3 > 
CTC5B;A41;11/8/2020_04:38:20;4 > 
CTC5B;A41;11/8/2020_05:08:32;7 > 
CTC5B;A41;11/8/2020_05:18:33;4 > 
CTC5B;A41;11/8/2020_05:28:24;4 > 
CTC5B;A41;11/8/2020_05:38:14;3 > 
CTC5B;A41;11/8/2020_05:48:05;5 > 
CTC5B;A41;11/8/2020_06:08:36;3 > 
CTC5B;A41;11/8/2020_06:18:37;6 > 
CTC5B;A41;11/8/2020_06:28:18;4 > 
CTC5B;A41;11/8/2020_06:38:09;3 > 
CTC5B;A41;11/8/2020_06:48:00;3 > 
CTC5B;A41;11/8/2020_07:18:13;4 > 
CTC5B;A41;11/8/2020_07:28:14;6 > 
CTC5B;A41;11/8/2020_07:38:04;4 > 
CTC5B;A41;11/8/2020_07:48:35;7 > 
CTC5B;A41;11/8/2020_08:00:26;5 > 
CTC5B;A41;11/8/2020_08:18:25;5 > 
CTC5B;A41;11/8/2020_08:28:16;4 > 
CTC5B;A41;11/8/2020_08:38:07;6 > 
CTC5B;A41;11/8/2020_10:33:00;3 > 
CTC5B;A41;11/8/2020_10:43:05;3 > 
CTC5B;A41;11/8/2020_10:53:36;3 > 
CTC5B;A41;11/8/2020_11:03:36;3 > 
CTC5B;A41;11/8/2020_11:13:27;3 > 
CTC5B;A41;11/8/2020_11:23:23;3 > 
CTC5B;A41;11/8/2020_11:37:58;3 > 
CTC5B;A41;11/8/2020_11:43:24;3 > 
CTC5B;A41;11/8/2020_11:56:38;3 > 
CTC5B;A41;11/8/2020_12:03:33;3 > 
CTC5B;A41;11/8/2020_12:14:55;3 > 
CTC5B;A41;11/8/2020_12:23:37;3 > 
CTC5B;A41;11/8/2020_12:33:26;3 > 
CTC5B;A41;11/8/2020_14:33:10;6 > 
CTC5B;A41;11/8/2020_14:53:32;4 > 
CTC5B;A34;13/8/2020_12:28:01;3 > 
CTC5B;A34;13/8/2020_12:48:17;3 > 
CTC5B;A34;13/8/2020_13:28:37;3 > 
CTC5B;A34;13/8/2020_13:38:38;3 > 
CTC5B;A34;13/8/2020_13:48:28;3 > 
CTC5B;A34;13/8/2020_15:00:02;7 > 
CTC5B;A34;13/8/2020_15:28:24;4 > 
CTC5B;A34;13/8/2020_16:18:22;5 > 
CTC5B;A34;13/8/2020_16:38:35;5 > 
CTC5B;A34;13/8/2020_16:48:36;5 > 
CTC5B;A34;13/8/2020_17:00:38;7 > 
CTC5B;A34;13/8/2020_17:38:33;5 > 
CTC5B;A34;13/8/2020_17:48:24;5 > 
CTC5B;A34;13/8/2020_18:00:16;5 > 
CTC5B;A34;13/8/2020_18:08:07;3 > 
CTC5B;A34;13/8/2020_18:38:20;7 > 
CTC5B;A34;13/8/2020_18:48:12;6 > 
CTC5B;A34;13/8/2020_19:00:03;4 > 
CTC5B;A34;13/8/2020_19:18:26;4 > 
CTC5B;A34;13/8/2020_19:28:07;5 > 
CTC5B;A34;13/8/2020_20:00:21;7 > 
CTC5B;A34;13/8/2020_20:08:12;6 > 
CTC5B;A34;13/8/2020_20:18:34;6 > 
CTC5B;A34;13/8/2020_20:28:25;7 > 
CTC5B;A34;13/8/2020_20:48:08;5 > 
CTC5B;A34;13/8/2020_21:08:31;5 > 
CTC5B;A34;13/8/2020_21:18:12;4 > 
CTC5B;A34;13/8/2020_21:28:14;7 > 
CTC5B;A34;13/8/2020_21:48:36;7 > 
CTC5B;A34;13/8/2020_23:00:15;6 > 
CTC5B;A34;13/8/2020_23:08:06;5 > 
CTC5B;A34;13/8/2020_23:18:38;4 > 
CTC5B;A34;13/8/2020_23:28:29;7 > 
CTC5B;A34;13/8/2020_23:48:21;7 > 
CTC5B;A34;14/8/2020_00:00:03;3 > 
CTC5B;A34;14/8/2020_00:28:17;7 > 
CTC5B;A34;14/8/2020_01:00:21;4 > 
CTC5B;A34;14/8/2020_01:08:12;5 > 
CTC5B;A34;14/8/2020_01:28:04;4 > 
CTC5B;A34;14/8/2020_01:48:27;6 > 
CTC5B;A34;14/8/2020_02:18:01;7 > 
CTC5B;A34;14/8/2020_02:28:32;6 > 
CTC5B;A34;14/8/2020_02:38:24;5 > 
CTC5B;A34;14/8/2020_03:08:28;3 > 
CTC5B;A34;14/8/2020_03:18:09;3 > 
CTC5B;A34;14/8/2020_03:48:23;7 > 
CTC5B;A34;14/8/2020_04:28:18;7 > 
CTC5B;A34;14/8/2020_04:38:09;6 > 
CTC5B;A34;14/8/2020_04:48:10;3 > 
CTC5B;A34;14/8/2020_05:08:23;3 > 
CTC5B;A34;14/8/2020_05:18:15;4 > 
CTC5B;A34;14/8/2020_05:48:29;3 > 
CTC5B;A34;14/8/2020_06:00:20;5 > 
CTC5B;A34;14/8/2020_06:08:21;5 > 
CTC5B;A34;14/8/2020_06:18:03;5 > 
CTC5B;A34;14/8/2020_06:38:35;3 > 
CTC5B;A34;14/8/2020_07:00:18;4 > 
CTC5B;A34;14/8/2020_07:38:33;5 > 
CTC5B;A34;14/8/2020_07:48:14;3 > 
CTC5B;A34;14/8/2020_08:08:37;6 > 
CTC5B;A34;14/8/2020_08:18:18;7 > 
CTC5B;A34;14/8/2020_08:28:09;5 > 
CTC5B;A34;14/8/2020_08:38:00;5 > 
CTC5B;A34;14/8/2020_08:48:00;5 > 
CTC5B;A34;14/8/2020_09:00:31;5 > 
CTC5B;A34;14/8/2020_09:08:31;5 > 
CTC5B;A34;17/8/2020_10:18:17;-1 > 
CTC5B;A34;17/8/2020_10:28:17;-1 > 
CTC5B;A34;17/8/2020_10:38:08;0 > 
CTC5B;A34;17/8/2020_10:48:19;-1 > 
CTC5B;A34;17/8/2020_11:08:05;0 > 
CTC5B;A34;17/8/2020_11:18:17;0 > 
CTC5B;A34;17/8/2020_12:08:16;-1 > 
CTC5B;A34;17/8/2020_13:08:53;0 > 
