Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC5C;A144;13/7/2020_10:13:23;5 > 
CTC5C;A144;13/7/2020_10:33:31;4 > 
CTC5C;A144;13/7/2020_10:53:33;5 > 
CTC5C;A144;13/7/2020_11:13:02;4 > 
CTC5C;A144;13/7/2020_11:33:01;7 > 
CTC5C;A144;13/7/2020_11:53:04;4 > 
CTC5C;A144;13/7/2020_12:13:29;4 > 
CTC5C;A42;3/8/2020_09:00:36;5 > 
CTC5C;A42;3/8/2020_09:01:27;5 > 
CTC5C;A42;3/8/2020_09:02:51;5 > 
CTC5C;A42;3/8/2020_09:08:02;5 > 
CTC5C;A42;3/8/2020_09:18:02;5 > 
CTC5C;A42;3/8/2020_09:28:33;5 > 
CTC5C;A42;3/8/2020_09:38:24;5 > 
CTC5C;A42;3/8/2020_09:48:15;5 > 
CTC5C;A42;3/8/2020_10:00:13;5 > 
CTC5C;A42;3/8/2020_10:08:06;5 > 
CTC5C;A42;3/8/2020_10:18:06;5 > 
CTC5C;A42;3/8/2020_10:28:37;5 > 
CTC5C;A42;3/8/2020_10:38:22;5 > 
CTC5C;A42;3/8/2020_10:48:22;5 > 
CTC5C;A42;3/8/2020_11:00:13;5 > 
CTC5C;A42;3/8/2020_11:08:04;5 > 
CTC5C;A42;3/8/2020_11:18:33;5 > 
CTC5C;A42;3/8/2020_11:28:36;5 > 
CTC5C;A42;3/8/2020_11:38:31;5 > 
CTC5C;A42;3/8/2020_11:48:31;5 > 
CTC5C;A42;3/8/2020_12:00:31;5 > 
CTC5C;A42;3/8/2020_12:08:22;5 > 
CTC5C;A42;3/8/2020_12:18:22;5 > 
CTC5C;A42;3/8/2020_12:28:22;5 > 
CTC5C;A42;3/8/2020_12:38:13;5 > 
CTC5C;A42;3/8/2020_12:48:13;5 > 
CTC5C;A42;3/8/2020_13:00:04;5 > 
CTC5C;A42;4/8/2020_09:08:35;6 > 
CTC5C;A42;4/8/2020_09:18:22;3 > 
CTC5C;A42;4/8/2020_09:28:10;7 > 
CTC5C;A42;4/8/2020_09:38:06;4 > 
CTC5C;A42;4/8/2020_09:48:34;7 > 
CTC5C;A42;4/8/2020_10:00:31;4 > 
CTC5C;A42;4/8/2020_10:08:28;3 > 
CTC5C;A42;4/8/2020_10:18:26;7 > 
CTC5C;A42;4/8/2020_10:28:14;3 > 
CTC5C;A42;4/8/2020_10:38:43;3 > 
CTC5C;A42;4/8/2020_12:18:22;4 > 
CTC5C;A42;4/8/2020_12:28:18;7 > 
