Compteur_Code;Alarme_Code;Time;AlarmeCondition
CTC5E;A146;13/7/2020_10:33:31;6 > 
CTC5E;A44;3/8/2020_09:00:36;4 > 
CTC5E;A44;3/8/2020_09:01:27;4 > 
CTC5E;A44;3/8/2020_09:02:51;4 > 
CTC5E;A44;3/8/2020_09:08:02;4 > 
CTC5E;A44;3/8/2020_09:18:02;4 > 
CTC5E;A44;3/8/2020_09:28:33;4 > 
CTC5E;A44;3/8/2020_09:38:24;4 > 
CTC5E;A44;3/8/2020_09:48:15;4 > 
CTC5E;A44;3/8/2020_10:00:13;4 > 
CTC5E;A44;3/8/2020_10:08:06;4 > 
CTC5E;A44;3/8/2020_10:18:06;4 > 
CTC5E;A44;3/8/2020_10:28:37;4 > 
CTC5E;A44;3/8/2020_10:38:22;4 > 
CTC5E;A44;3/8/2020_10:48:22;4 > 
CTC5E;A44;3/8/2020_11:00:13;4 > 
CTC5E;A44;3/8/2020_11:08:04;4 > 
CTC5E;A44;3/8/2020_11:18:33;4 > 
CTC5E;A44;3/8/2020_11:28:36;4 > 
CTC5E;A44;3/8/2020_11:38:31;4 > 
CTC5E;A44;3/8/2020_11:48:31;4 > 
CTC5E;A44;3/8/2020_12:00:31;4 > 
CTC5E;A44;3/8/2020_12:08:22;4 > 
CTC5E;A44;3/8/2020_12:18:22;4 > 
CTC5E;A44;3/8/2020_12:28:22;4 > 
CTC5E;A44;3/8/2020_12:38:13;4 > 
CTC5E;A44;3/8/2020_12:48:13;4 > 
CTC5E;A44;3/8/2020_13:00:04;4 > 
CTC5E;A44;4/8/2020_08:48:11;3 > 
CTC5E;A44;4/8/2020_10:08:28;5 > 
CTC5E;A44;4/8/2020_10:18:26;4 > 
CTC5E;A44;4/8/2020_10:28:14;5 > 
CTC5E;A44;4/8/2020_10:38:43;7 > 
CTC5E;A44;4/8/2020_12:08:35;5 > 
CTC5E;A44;4/8/2020_12:38:15;5 > 
CTC5E;A44;4/8/2020_13:00:07;3 > 
CTC5E;A44;4/8/2020_13:08:43;6 > 
CTC5E;A44;4/8/2020_13:18:30;7 > 
CTC5E;A44;4/8/2020_13:28:38;4 > 
CTC5E;A44;4/8/2020_13:38:15;4 > 
CTC5E;A44;4/8/2020_13:48:47;4 > 
CTC5E;A44;4/8/2020_14:00:38;4 > 
CTC5E;A44;10/8/2020_08:34:32;3 > 
CTC5E;A44;10/8/2020_08:43:03;4 > 
CTC5E;A44;10/8/2020_09:05:27;7 > 
CTC5E;A44;10/8/2020_09:15:28;7 > 
CTC5E;A44;10/8/2020_09:25:16;7 > 
CTC5E;A44;10/8/2020_09:35:20;7 > 
CTC5E;A44;10/8/2020_10:05:33;3 > 
CTC5E;A44;10/8/2020_10:15:38;3 > 
CTC5E;A44;10/8/2020_10:25:20;7 > 
CTC5E;A44;10/8/2020_12:25:26;4 > 
CTC5E;A44;10/8/2020_12:45:28;3 > 
CTC5E;A44;10/8/2020_12:55:35;3 > 
CTC5E;A44;10/8/2020_13:07:54;3 > 
CTC5E;A44;10/8/2020_13:15:15;3 > 
CTC5E;A44;10/8/2020_13:25:06;3 > 
CTC5E;A44;10/8/2020_13:35:37;3 > 
CTC5E;A44;10/8/2020_14:48:33;7 > 
CTC5E;A44;10/8/2020_15:08:15;3 > 
CTC5E;A44;10/8/2020_15:28:07;7 > 
CTC5E;A44;10/8/2020_16:00:28;6 > 
CTC5E;A44;10/8/2020_16:38:11;6 > 
CTC5E;A44;10/8/2020_17:18:23;5 > 
CTC5E;A44;10/8/2020_17:28:24;6 > 
CTC5E;A44;10/8/2020_17:38:14;5 > 
CTC5E;A44;10/8/2020_17:48:05;3 > 
CTC5E;A44;10/8/2020_18:08:36;5 > 
CTC5E;A44;10/8/2020_18:18:27;5 > 
CTC5E;A44;10/8/2020_18:28:27;6 > 
CTC5E;A44;10/8/2020_18:38:18;3 > 
CTC5E;A44;10/8/2020_18:48:19;4 > 
CTC5E;A44;10/8/2020_20:00:13;5 > 
CTC5E;A44;10/8/2020_20:18:05;5 > 
CTC5E;A44;10/8/2020_20:38:26;7 > 
CTC5E;A44;10/8/2020_20:48:27;6 > 
CTC5E;A44;10/8/2020_21:00:18;4 > 
CTC5E;A44;10/8/2020_21:08:08;7 > 
