Compteur_Code;Alarme_Code;Time;AlarmeCondition
CV15;A28;19/12/2019_08:38:28;221.8 > 
CV15;A28;19/12/2019_09:08:12;552.5 > 
CV15;A28;19/12/2019_09:23:17;709.9 > 
CV15;A28;19/12/2019_09:38:17;859.1 > 
CV15;A28;19/12/2019_09:53:21;1035.6 > 
CV15;A28;19/12/2019_10:08:20;1200.3 > 
CV15;A28;19/12/2019_10:23:01;1346.8 > 
CV15;A28;19/12/2019_10:38:01;1473.9 > 
CV15;A28;19/12/2019_10:53:29;1668.7 > 
CV15;A28;19/12/2019_11:08:27;1855 > 
CV15;A28;19/12/2019_11:23:11;2037.9 > 
CV15;A28;19/12/2019_11:38:19;2222.5 > 
CV15;A28;19/12/2019_11:53:30;2405.8 > 
CV15;A28;19/12/2019_12:08:25;2583.8 > 
CV15;A28;19/12/2019_12:23:24;129.7 > 
CV15;A28;19/12/2019_12:38:16;314.3 > 
CV15;A28;19/12/2019_12:53:22;501.9 > 
CV15;A28;19/12/2019_13:08:29;688.6 > 
CV15;A28;19/12/2019_13:23:34;880.5 > 
CV15;A28;19/12/2019_13:38:36;1071.7 > 
CV15;A28;19/12/2019_13:53:29;1259.3 > 
CV15;A28;19/12/2019_14:08:32;1448.9 > 
CV15;A28;19/12/2019_14:23:15;1634 > 
CV15;A28;19/12/2019_14:38:03;1819.8 > 
CV15;A28;19/12/2019_14:53:20;2011.7 > 
CV15;A28;19/12/2019_15:08:25;2197.9 > 
CV15;A28;19/12/2019_15:23:03;2371.8 > 
CV15;A28;19/12/2019_15:38:40;2559.2 > 
CV15;A28;19/12/2019_15:53:37;2739.3 > 
CV15;A28;19/12/2019_16:08:12;2910.6 > 
CV15;A28;19/12/2019_16:23:09;3085.1 > 
CV15;A28;19/12/2019_16:38:15;3262.1 > 
CV15;A28;19/12/2019_16:53:09;3444.4 > 
CV15;A28;20/12/2019_08:28:06;106 > 
CV15;A28;20/12/2019_08:30:37;138.3 > 
CV15;A28;20/12/2019_09:08:39;309 > 
CV15;A28;20/12/2019_09:23:16;494.2 > 
CV15;A28;20/12/2019_09:38:04;607.9 > 
CV15;A28;20/12/2019_09:53:01;607.9 > 
CV15;A28;20/12/2019_10:08:12;607.9 > 
CV15;A28;20/12/2019_10:23:23;607.9 > 
CV15;A28;20/12/2019_10:38:35;607.9 > 
CV15;A28;20/12/2019_10:53:36;607.9 > 
CV15;A28;20/12/2019_11:08:08;607.9 > 
CV15;A28;20/12/2019_11:23:02;729.1 > 
CV15;A28;20/12/2019_11:38:08;909.7 > 
CV15;A28;20/12/2019_11:53:31;1102.6 > 
CV15;A28;20/12/2019_12:08:37;1294 > 
CV15;A28;20/12/2019_12:23:06;1473.9 > 
CV15;A28;20/12/2019_12:38:18;1656.8 > 
CV15;A28;20/12/2019_12:53:34;1837.1 > 
CV15;A28;20/12/2019_13:08:18;2017.9 > 
CV15;A28;20/12/2019_13:23:31;2204.3 > 
CV15;A28;21/12/2019_09:28:31;164.5 > 
CV15;A28;21/12/2019_09:43:29;352.7 > 
CV15;A28;21/12/2019_10:00:06;553.8 > 
CV15;A28;21/12/2019_10:13:38;721 > 
CV15;A28;21/12/2019_10:28:19;908.4 > 
