Code;Nom;Description;Tableau;View;Energy;Template;Row= C:E,Cp,Cl,Cn/,PCP/PCD/PCC;Column L:l1,l2,ln;Status
1811;Tableau des compteurs_Jour_Temperature;Tableau des compteurs_Jour_Temperature;18;1;1;AllCompteur;C:Temperature,*,*,*,*;L:16,0,18,34,38,4,8,12;
1812;Tableau des compteurs_Jour_Humidite;Tableau des compteurs_Jour_Humidite;18;1;2;AllCompteur;C:Humidite,*,*,*,*;L:16,0,18,34,38,4,8,12;
1821;Tableau des compteurs_Semaine_Temperature;Tableau des compteurs_Semaine_Temperature;18;2;1;AllCompteur;C:Temperature,*,*,*,*;L:16,1,19,35,39,5,9,13;
1822;Tableau des compteurs_Semaine_Humidite;Tableau des compteurs_Semaine_Humidite;18;2;2;AllCompteur;C:Humidite,*,*,*,*;L:16,1,19,35,39,5,9,13;
1831;Tableau des compteurs_Mois_Temperature;Tableau des compteurs_Mois_Temperature;18;3;1;AllCompteur;C:Temperature,*,*,*,*;L:16,2,20,36,40,6,10,14;
1832;Tableau des compteurs_Mois_Humidite;Tableau des compteurs_Mois_Humidite;18;3;2;AllCompteur;C:Humidite,*,*,*,*;L:16,2,20,36,40,6,10,14;
1841;Tableau des compteurs_Année_Temperature;Tableau des compteurs_Année_Temperature;18;4;1;AllCompteur;C:Temperature,*,*,*,*;L:16,3,21,37,41,7,11,15;
1842;Tableau des compteurs_Année_Humidite;Tableau des compteurs_Année_Humidite;18;4;2;AllCompteur;C:Humidite,*,*,*,*;L:16,3,21,37,41,7,11,15;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
