Channel;Device;GateID;N ID;Address;Description;Multiply factor 1;Gate Type 1;GateID1;N ID 1;Operation;Multiply factor 2;Gate Type 2;GateID2;N ID 2;Measured val. 1;Engineering val. 1;Measured val. 2;Engineering val. 2;Decimal digits;Record on historical file;Enable writing to device;Access groups;Apply decimal factor;From gate;Decimal Digits Gate Type;Decimal Digits Gate ID;Decimal Digits N Id
0;0;CMPGate;0;;Name_KWh J;1;CMP;CMPGate;100;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;100;;Name_KWh J;1;NUM;CMPGate;24;-;1;NUM;NUMGate_J-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1;;Name_KWh W;1;CMP;CMPGate;101;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;101;;Name_KWh W;1;NUM;CMPGate;24;-;1;NUM;NUMGate_S-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2;;Name_KWh M;1;CMP;CMPGate;102;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;102;;Name_KWh M;1;NUM;CMPGate;24;-;1;NUM;NUMGate_M-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;3;;Name_KWh A;1;CMP;CMPGate;103;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;103;;Name_KWh A;1;NUM;CMPGate;24;-;1;NUM;NUMGate_A-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;4;;Name_VARh J;1;CMP;CMPGate;104;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;104;;Name_VARh J;1;NUM;CMPGate;25;-;1;NUM;NUMGate_J-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;5;;Name_VARh W;1;CMP;CMPGate;105;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;105;;Name_VARh W;1;NUM;CMPGate;25;-;1;NUM;NUMGate_S-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;6;;Name_VARh M;1;CMP;CMPGate;106;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;106;;Name_VARh M;1;NUM;CMPGate;25;-;1;NUM;NUMGate_M-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;7;;Name_VARh A;1;CMP;CMPGate;107;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;107;;Name_VARh A;1;NUM;CMPGate;25;-;1;NUM;NUMGate_A-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;8;;Name_KWh/T J;1;CMP;CMPGate;0;/;1;CMP;Prod;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;9;;Name_KWh/T W;1;CMP;CMPGate;1;/;1;CMP;Prod;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;10;;Name_KWh/T M;1;CMP;CMPGate;2;/;1;CMP;Prod;3;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;11;;Name_KWh/T A;1;CMP;CMPGate;3;/;1;CMP;Prod;4;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;12;;Name_V1;1;NUM;NUMGate;12;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
