Channel;Device;Gate ID;N ID;Address;Description;Multiply factor 1;Gate Type 1;Gate ID 1;N ID 1;Operation;Multiply factor 2;Gate Type 2;Gate ID 2;N ID 2;Measured val. 1;Engineering val. 1;Measured val. 2;Engineering val. 2;Decimal digits;Record on historical file;Enable writing to device;Access groups;Apply decimal factor;From gate;Decimal Digits Gate Type;Decimal Digits Gate ID;Decimal Digits N Id
0;0;CMPGate;0;;Name_Temperature Moyenne J;1;NUM;NUMGate;0;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;1;;Name_Temperature Moyenne S;1;NUM;NUMGate;1;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;2;;Name_Temperature Moyenne M;1;NUM;NUMGate;2;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;3;;Name_Temperature Moyenne A;1;NUM;NUMGate;3;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;4;;Name_Temperature Min J;1;CMP;NUMGate;16;DISCARD Hi;1;CMP;CMPGate;4;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;5;;Name_Temperature Min S;1;CMP;NUMGate;16;DISCARD Hi;1;CMP;CMPGate;5;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;6;;Name_Temperature Min M;1;CMP;NUMGate;16;DISCARD Hi;1;CMP;CMPGate;6;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;7;;Name_Temperature Min A;1;CMP;NUMGate;16;DISCARD Hi;1;CMP;CMPGate;7;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;8;;Name_Temperature Max J;1;CMP;NUMGate;16;DISCARD Lo;1;CMP;CMPGate;8;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;9;;Name_Temperature Max S;1;CMP;NUMGate;16;DISCARD Lo;1;CMP;CMPGate;9;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;10;;Name_Temperature Max M;1;CMP;NUMGate;16;DISCARD Lo;1;CMP;CMPGate;10;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;11;;Name_Temperature Max A;1;CMP;NUMGate;16;DISCARD Lo;1;CMP;CMPGate;11;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;12;;Name_Temperature Inc J;1;NUM;NUMGate;12;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;13;;Name_Temperature Inc S;1;NUM;NUMGate;13;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;14;;Name_Temperature Inc M;1;NUM;NUMGate;14;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;15;;Name_Temperature Inc A;1;NUM;NUMGate;15;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;16;;Name_Temperature LIVE;1;NUM;NUMGate;16;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;T;F;0;F;F;;;
0;0;CMPGate;17;;Name_Temperature Inc LIVE;1;NUM;NUMGate;15;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;2;F;F;0;F;F;;;
0;0;CMPGate;18;;Name_Temperature Moyenne J-1;1;NUM;NUMGate;18;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;F;F;0;F;F;;;
0;0;CMPGate;19;;Name_Temperature Moyenne S-1;1;NUM;NUMGate;19;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;F;F;0;F;F;;;
0;0;CMPGate;20;;Name_Temperature Moyenne M-1;1;NUM;NUMGate;20;RESET IF =;1;NUM;ZERO;0;0;0;1;1;2;F;F;0;F;F;;;
